0	0	648	172	11	17	245	0	2702	1653	8	11	204	4	197	694	0	443	2859	1	6233	23	3275	3416	828	25	263	3	5245	11	6857	0	177	3512	27	10	0	0	1	0	0	0	5230	4	54	440	5047	2	0	58
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	173	833	8	6	127	62	0	451	296	2	0	84	0	13	80	4	125	896	0	11004	139	53	121	2	2	10	0	296	258	94	0	17	45	4	152	75	4	7616	167	1129	14	928	3	11	2264	6481	357	0	33
0	0	72	35	0	0	1	0	1	79	0	0	3	0	5	2	0	19	4	0	3	0	0	0	0	0	0	0	124	0	5	0	0	1	1	0	0	0	0	0	0	0	5482	5	21	2	34	0	0	0
0	6	10	0	1	0	1	1	10	8	0	0	2	0	0	0	0	1	4	0	53	16	2	1	0	0	0	0	2	0	2	0	0	0	0	0	0	0	15	0	1	0	57	0	7	1	107	3	0	0
0	37	10	5	0	46	0	0	231	114	0	0	37	0	7	0	0	3	12	0	264	6	2	2	1	0	0	0	23	1	5	0	0	0	1	18	0	0	150	0	2	0	260	0	0	219	1375	7	0	0
0	3	98	1	1	61	146	0	42	17	0	0	78	0	4	52	0	47	69	0	5576	19	3	82	9	6	16	0	17	3	26	0	18	7	0	12	1	0	804	0	2	0	121	0	3	801	581	5	0	3
0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
0	1	997	182	6	142	292	0	102	1507	2	0	100	9	128	264	0	234	645	0	6529	29	316	1099	91	15	94	1	1411	10	1134	0	145	292	7	18	0	0	2	0	0	0	6181	12	44	1800	1604	0	0	28
0	5	6181	470	39	2	59	0	93	4042	17	0	46	0	440	16	1	294	740	1	307	19	21	41	4	3	2	4	3511	15	296	0	8	74	4	30	1	0	41	4	193	0	29677	33	359	34	517	8	0	62
0	0	40	0	2	0	0	0	0	2	0	0	0	0	0	0	0	1	6	0	2	0	0	0	0	0	0	0	3	0	1	0	0	5	0	0	0	0	0	0	0	0	60	0	3	0	1	0	0	0
0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	23	0	0	0
0	26	185	144	3	13	43	0	133	1216	2	0	78	0	79	32	1	81	672	0	1254	25	24	120	8	1	6	2	414	35	203	0	19	16	0	66	0	0	1852	2	2	1	4237	12	39	170	5992	21	0	19
0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	6	0	1	2	0	26	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	0	0	0	0
0	45	9	5	1	0	2	0	43	69	3	0	44	0	18	2	2	8	14	1	75	6	4	8	0	0	1	0	61	5	8	0	2	3	1	32	1	0	962	3	318	1	299	0	7	8	2896	31	0	3
0	26	113	42	0	5	281	0	194	280	0	0	244	0	10	1247	5	30	466	0	3195	16	14	124	6	1	19	0	248	6	82	0	44	69	4	101	0	0	379	1	0	0	1296	10	5	514	1213	1	0	2
0	1	27	11	1	0	6	0	15	151	0	0	1	0	21	0	0	10	5	0	40	1	1	1	0	1	1	0	96	0	14	0	10	12	0	3	0	0	87	0	0	0	314	1	1	2	121	2	0	1
0	41	65	23	1	8	5	0	161	183	0	0	95	0	12	15	0	25	53	0	605	13	15	16	1	0	1	0	100	1	44	0	8	13	0	61	1	1	896	3	86	1	581	4	7	175	2712	23	0	0
0	294	1243	19	12	50	143	1	115	327	0	0	236	1	60	81	3	68	2580	0	6960	282	27	222	0	6	54	1	223	21924	50	0	24	69	13	9	0	0	503	1	16	0	1941	0	28	369	3040	12	0	29
